cao_number;id;ingangsdatum;expiratiedatum;datum_kennisgeving;pdf_name;page_name;main_link_url
405;405011;01/07/2024;30/06/2025;13/05/2024;CAO Kappers 1 juli 2024 30 juni 2025 (definitief).pdf;405 - KAPPERSBEDRIJF - 01-07-2024 - 30-06-2025 - Regulier - kvo datum - 13-05-2024;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=42684&mSelod=704753
405;405012;01/07/2024;30/06/2025;26/06/2024;CAOKAP~2.pdf;405 - KAPPERSBEDRIJF - 01-07-2024 - 30-06-2025 - Regulier - kvo datum - 26-06-2024 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=43133&mSelod=704753
748;748001;01/01/2019;31/12/2019;09/07/2019;Cao voor het Slagersbedrijf 2019 - ongerenvooieerd.doc.pdf;748 - SLAGERSBEDRIJF - 01-01-2019 - 31-12-2019 - Regulier - kvo datum - 09-07-2019;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=14575&mSelod=704755
748;748002;01/01/2020;31/12/2020;19/10/2020;01-CAO~1.DOC.pdf;748 - SLAGERSBEDRIJF - 01-01-2020 - 31-12-2020 - Regulier - kvo datum - 19-10-2020;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=19807&mSelod=704755
748;748003;01/01/2021;28/02/2022;29/07/2021;Cao voor het Slagersbedrijf.pdf;748 - SLAGERSBEDRIJF - 01-01-2021 - 28-02-2022 - Regulier - kvo datum - 29-07-2021;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=23090&mSelod=704755
748;748004;01/01/2021;28/02/2022;31/08/2021;CAOVOO~1.pdf;748 - SLAGERSBEDRIJF - 01-01-2021 - 28-02-2022 - Regulier - kvo datum - 31-08-2021 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=23218&mSelod=704755
748;748005;01/03/2022;29/02/2024;10/10/2022;26-DEF~1.pdf;748 - SLAGERSBEDRIJF - 01-03-2022 - 29-02-2024 - Regulier - kvo datum - 10-10-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=31426&mSelod=704755
748;748006;01/03/2024;31/08/2025;07/07/2025;02 - Cao voor het Slagersbedrijf 1-3-24 tm 31-8-25 - ongerenvooieerd.pdf;748 - SLAGERSBEDRIJF - 01-03-2024 - 31-08-2025 - Regulier - kvo datum - 07-07-2025;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=49191&mSelod=704755
748;748007;01/04/2011;31/03/2013;01/11/2011;Cao_voor_het_Slagersbedrijf_1_4_11_tm_31_3_13.pdf;748 - SLAGERSBEDRIJF - 01-04-2011 - 31-03-2013 - Regulier - kvo datum - 01-11-2011;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8325&mSelod=704755
748;748008;01/04/2011;31/03/2013;04/01/2013;Cao_voor_het_Slagersbedrijf_1_4_2011_tm_31_3_2013.pdf;748 - SLAGERSBEDRIJF - 01-04-2011 - 31-03-2013 - Regulier - kvo datum - 04-01-2013 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8326&mSelod=704755
